State,Agencytype,Agencyname,Race,Religion,Sexualorientation,Ethnicity,Disability,Gender,GenderIdentity,1stquarter,2ndquarter,3rdquarter,4thquarter,Population
Minnesota,Cities,Chaska,1,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,24158.0
Tennessee,Cities,Chattanooga,2,1,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,172286.0
Washington,MetropolitanCounties,Chelan,0,2,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,
Massachusetts,Cities,Chelsea,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,37454.0
Kansas,Cities,Cheney,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2127.0
Washington,Cities,Cheney,3,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,11117.0
Virginia,Cities,Chesapeake,4,2,0,0,0,0.0,0.0,2.0,0.0,2.0,2.0,230577.0
Illinois,Cities,Chester,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,8448.0
South Carolina,NonmetropolitanCounties,Chesterfield,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Virginia,MetropolitanCounties,ChesterfieldCountyPoliceDepartment,1,1,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,
Michigan,Cities,ChesterfieldTownship,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,43784.0
Colorado,NonmetropolitanCounties,Cheyenne,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,
Illinois,Cities,Chicago,22,2,18,3,0,0.0,0.0,11.0,10.0,15.0,9.0,2720554.0
California,Cities,Chico,1,3,0,0,0,0.0,0.0,1.0,2.0,0.0,1.0,88226.0
California,Cities,Chino,2,2,2,3,0,0.0,0.0,2.0,2.0,3.0,2.0,80704.0
Michigan,Cities,ChocolayTownship,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6029.0
Oklahoma,Cities,Choctaw,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,11768.0
Kentucky,MetropolitanCounties,Christian,1,0,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,
Tennessee,UniversitiesandColleges,ChristianBrothersUniversity,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1603.0
Virginia,Cities,Christiansburg,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,21581.0
Virginia,UniversitiesandColleges,ChristopherNewportUniversity,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,5186.0
Idaho,Cities,Chubbuck,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,14224.0
California,Cities,ChulaVista,3,0,1,0,0,0.0,0.0,0.0,3.0,0.0,1.0,255073.0
Ohio,Cities,Cincinnati,9,0,1,5,1,0.0,0.0,4.0,0.0,2.0,10.0,296491.0
New Jersey,Cities,CinnaminsonTownship,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,16686.0
Ohio,Cities,Circleville,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,13491.0
California,Cities,CitrusHeights,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,85337.0
Washington,NonmetropolitanCounties,Clallam,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,
Michigan,Cities,Clare,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3095.0
California,Cities,Claremont,1,1,1,0,0,0.0,0.0,2.0,0.0,0.0,1.0,35623.0
Washington,MetropolitanCounties,Clark,3,0,1,0,0,0.0,0.0,1.0,1.0,1.0,1.0,
New Jersey,Cities,ClarkTownship,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,15021.0
Virginia,MetropolitanCounties,Clarke,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Washington,Cities,Clarkston,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,7295.0
New York,Cities,ClarkstownTown,1,2,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,80705.0
Tennessee,Cities,Clarksville,0,0,5,6,0,0.0,0.0,1.0,2.0,0.0,8.0,145599.0
Florida,MetropolitanCounties,Clay,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Kentucky,NonmetropolitanCounties,Clay,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Missouri,Cities,Clayton,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,15901.0
Ohio,Cities,ClearcreekTownship,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,14642.0
California,Cities,Clearlake,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,14951.0
Ohio,MetropolitanCounties,Clermont,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
Ohio,Cities,Cleveland,1,0,5,1,0,0.0,0.0,1.0,0.0,4.0,2.0,389181.0
Oklahoma,Cities,Cleveland,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,3224.0
Ohio,OtherAgencies,ClevelandMetropolitanParkDistrict,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Michigan,Cities,ClintonTownship,4,0,0,0,0,0.0,0.0,1.0,2.0,0.0,1.0,98071.0
New Jersey,Cities,Closter,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,8548.0
South Carolina,Cities,Clover,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,5342.0
California,Cities,Clovis,0,1,2,1,0,0.0,0.0,0.0,1.0,1.0,2.0,99483.0
Georgia,MetropolitanCounties,CobbCountyPoliceDepartment,19,3,2,3,0,0.0,0.0,1.0,12.0,8.0,6.0,
Arizona,MetropolitanCounties,Cochise,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
South Dakota,NonmetropolitanCounties,Codington,3,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0,
Idaho,Cities,Coeurd'Alene,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,46023.0
New York,Cities,Cohoes,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,16179.0
Vermont,Cities,Colchester,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,17288.0
Michigan,Cities,Coldwater,1,0,2,0,0,0.0,0.0,0.0,2.0,0.0,1.0,10876.0
Ohio,Cities,ColerainTownship,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,58578.0
Tennessee,Cities,Collegedale,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,9468.0
South Carolina,NonmetropolitanCounties,Colleton,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Florida,MetropolitanCounties,Collier,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Texas,MetropolitanCounties,Collin,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,
New York,Cities,ColonieTown,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,78215.0
Colorado,Cities,ColoradoSprings,3,1,2,1,0,0.0,0.0,2.0,4.0,1.0,0.0,436108.0
Colorado,StatePoliceAgencies,ColoradoStatePatrol,1,0,0,0,0,,,0.0,0.0,0.0,1.0,
Colorado,UniversitiesandColleges,"ColoradoStateUniversity,FortCollins",1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,30659.0
California,Cities,Colton,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,53403.0
New Jersey,Cities,ColtsNeckTownship,3,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,10075.0
South Carolina,Cities,Columbia,1,0,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,132240.0
Washington,MetropolitanCounties,Columbia,0,0,0,2,0,0.0,0.0,0.0,2.0,,,
Montana,Cities,ColumbiaFalls,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4721.0
Minnesota,Cities,ColumbiaHeights,1,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,19715.0
Nebraska,Cities,Columbus,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,22624.0
Ohio,Cities,Columbus,88,4,17,15,12,0.0,0.0,8.0,22.0,60.0,46.0,816364.0
Texas,Cities,Commerce,1,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,8267.0
Colorado,Cities,CommerceCity,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,49200.0
California,Cities,Compton,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,97907.0
California,Cities,Concord,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,125464.0
New Hampshire,Cities,Concord,2,1,0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,42615.0
North Carolina,Cities,Concord,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,82899.0
Connecticut,StatePoliceAgencies,ConnecticutStatePolice,1,1,3,2,0,0.0,0.0,2.0,1.0,4.0,0.0,
New Hampshire,Cities,Conway,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,10056.0
Georgia,Cities,Conyers,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,15465.0
Illinois,MetropolitanCounties,Cook,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,
Kentucky,Cities,Corbin,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,7257.0
California,Cities,Corcoran,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,23290.0
New York,UniversitiesandColleges,CornellUniversity,1,0,1,0,0,0.0,0.0,0.0,1.0,1.0,,21424.0
California,Cities,Corona,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,160159.0
California,Cities,Coronado,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,23183.0
Texas,Cities,CorpusChristi,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,314523.0
South Dakota,NonmetropolitanCounties,Corson,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
California,Cities,CostaMesa,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,112538.0
California,Cities,Covina,0,2,1,0,0,0.0,0.0,0.0,3.0,0.0,0.0,48524.0
Kentucky,Cities,Covington,3,0,3,3,0,0.0,0.0,1.0,4.0,2.0,2.0,40766.0
Tennessee,Cities,Covington,1,0,0,12,4,0.0,0.0,3.0,1.0,5.0,8.0,9076.0
Washington,Cities,Covington,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,18526.0
Washington,MetropolitanCounties,Cowlitz,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Nebraska,Cities,Cozad,0,0,0,1,0,0.0,0.0,1.0,,0.0,0.0,3929.0
New Jersey,Cities,CranfordTownship,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,23165.0
Arkansas,MetropolitanCounties,Crawford,2,0,2,0,0,0.0,0.0,0.0,2.0,1.0,1.0,
New York,Cities,CrawfordTown,3,4,0,0,0,0.0,0.0,0.0,1.0,0.0,6.0,9264.0
North Carolina,Cities,Creedmoor,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,4254.0
Minnesota,Cities,Crosby,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2369.0
New York,Cities,Croton-on-HudsonVillage,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,8180.0
Illinois,Cities,CrystalLake,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,40383.0
Illinois,NonmetropolitanCounties,Cumberland,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
Virginia,NonmetropolitanCounties,Cumberland,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
California,Cities,Cupertino,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,60440.0
Kentucky,Cities,Cynthiana,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6305.0
California,Cities,Cypress,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,49067.0
Texas,Cities,Dallas,3,2,9,4,0,0.0,0.0,2.0,4.0,9.0,3.0,1255015.0
California,Cities,DalyCity,0,2,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,104536.0
California,Cities,DanaPoint,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,34262.0
Connecticut,Cities,Danbury,0,1,1,1,0,0.0,0.0,,2.0,,1.0,83363.0
Wisconsin,MetropolitanCounties,Dane,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Massachusetts,Cities,Danvers,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,27263.0
Kentucky,Cities,Danville,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,16388.0
Virginia,Cities,Danville,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,43133.0
Kentucky,MetropolitanCounties,Daviess,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
California,Cities,Davis,2,1,4,1,0,0.0,0.0,3.0,4.0,0.0,1.0,66126.0
Nebraska,NonmetropolitanCounties,Dawson,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,
Ohio,Cities,Dayton,5,0,2,1,0,0.0,0.0,2.0,3.0,1.0,2.0,141167.0
Illinois,Cities,DeKalb,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,43765.0
Missouri,MetropolitanCounties,DeKalb,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Massachusetts,UniversitiesandColleges,DeanCollege,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1322.0
Michigan,Cities,Dearborn,7,2,2,3,0,0.0,0.0,7.0,4.0,2.0,1.0,96012.0
Ohio,MetropolitanCounties,Delaware,1,0,0,1,0,0.0,0.0,0.0,0.0,2.0,0.0,
Delaware,UniversitiesandColleges,DelawareStateUniversity,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4324.0
New Jersey,Cities,DelranTownship,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,16862.0
Florida,Cities,DelrayBeach,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,62887.0
Texas,Cities,Denison,1,0,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,22652.0
Texas,Cities,Denton,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,123260.0
Colorado,Cities,Denver,9,5,15,1,0,0.0,0.0,3.0,13.0,9.0,5.0,648981.0
California,OtherAgencies,"DepartmentofParksandRecreation,TehachapiDistrict",1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Tennessee,StatePoliceAgencies,DepartmentofSafety,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,
Connecticut,Cities,Derby,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,12806.0
Washington,Cities,DesMoines,4,1,0,0,0,0.0,0.0,0.0,1.0,2.0,2.0,30684.0
Oregon,MetropolitanCounties,Deschutes,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
Michigan,Cities,Detroit,2,0,1,0,0,0.0,0.0,0.0,0.0,1.0,2.0,699889.0
North Dakota,Cities,DevilsLake,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,7260.0
North Dakota,Cities,Dickinson,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,20347.0
Colorado,Cities,Dillon,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,906.0
South Carolina,Cities,Dillon,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6627.0
Illinois,Cities,Dixon,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,15304.0
Kansas,Cities,DodgeCity,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,28265.0
Illinois,NonmetropolitanCounties,Douglas,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Kansas,MetropolitanCounties,Douglas,0,0,1,1,0,0.0,0.0,0.0,2.0,0.0,0.0,
Massachusetts,Cities,Douglas,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,8628.0
Oregon,NonmetropolitanCounties,Douglas,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Delaware,Cities,Dover,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,37402.0
Massachusetts,Cities,Dover,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,5778.0
Massachusetts,Cities,Dracut,4,1,0,0,0,0.0,0.0,0.0,1.0,2.0,2.0,30533.0
Utah,Cities,Draper,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,44680.0
California,Cities,Duarte,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,21759.0
Minnesota,Cities,Duluth,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,86211.0
West Virginia,Cities,Dunbar,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,7834.0
North Dakota,NonmetropolitanCounties,Dunn,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Colorado,Cities,Durango,0,0,2,0,0,0.0,0.0,1.0,0.0,1.0,0.0,17303.0
North Carolina,Cities,Durham,2,1,3,1,0,0.0,0.0,3.0,0.0,4.0,0.0,242865.0
Tennessee,Cities,Dyersburg,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,17013.0
Minnesota,Cities,Eagan,0,2,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,65052.0
Arizona,Cities,Eagar,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,5034.0
New Jersey,Cities,EastBrunswickTownship,1,10,2,1,0,0.0,0.0,3.0,4.0,3.0,4.0,48073.0
North Carolina,UniversitiesandColleges,EastCarolinaUniversity,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,26947.0
Michigan,Cities,EastGrandRapids,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,11100.0
Connecticut,Cities,EastHampton,0,2,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,12934.0
New Jersey,Cities,EastHanoverTownship,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,11350.0
Connecticut,Cities,EastHartford,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,51275.0
Ohio,Cities,EastLiverpool,1,1,0,0,0,0.0,0.0,2.0,0.0,,,11010.0
Massachusetts,Cities,EastLongmeadow,2,0,3,0,0,0.0,0.0,0.0,3.0,0.0,2.0,15946.0
New Jersey,Cities,EastOrange,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,64425.0
Ohio,Cities,EastPalestine,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,4631.0
Connecticut,Cities,EastWindsor,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,11455.0
New Jersey,Cities,EastWindsorTownship,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,27564.0
New Jersey,Cities,EastamptonTownship,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,6103.0
Michigan,UniversitiesandColleges,EasternMichiganUniversity,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,23518.0
Washington,UniversitiesandColleges,EasternWashingtonUniversity,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,12587.0
Michigan,Cities,Eastpointe,1,0,0,1,0,0.0,0.0,0.0,0.0,2.0,0.0,32402.0
Michigan,MetropolitanCounties,Eaton,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Ohio,Cities,Eaton,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,8307.0
Minnesota,Cities,EdenPrairie,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,62714.0
Massachusetts,Cities,Edgartown,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,4252.0
New Jersey,Cities,EggHarborTownship,2,0,0,1,0,0.0,0.0,0.0,2.0,0.0,1.0,43709.0
California,Cities,ElCajon,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,102012.0
California,Cities,ElCerrito,0,2,1,4,0,0.0,0.0,3.0,1.0,2.0,1.0,24184.0
California,MetropolitanCounties,ElDorado,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,1.0,
Arizona,Cities,ElMirage,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,32837.0
California,Cities,ElMonte,5,0,0,0,0,0.0,0.0,0.0,3.0,0.0,2.0,115591.0
Colorado,MetropolitanCounties,ElPaso,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,
Texas,Cities,ElPaso,0,0,3,0,0,0.0,0.0,2.0,1.0,0.0,0.0,679700.0
Tennessee,Cities,Elizabethton,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,14220.0
Kentucky,Cities,Elizabethtown,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,29470.0
Oklahoma,Cities,ElkCity,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,12463.0
California,Cities,ElkGrove,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,160925.0
Michigan,Cities,ElkRapids,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1629.0
Minnesota,Cities,ElkRiver,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,23351.0
Indiana,MetropolitanCounties,Elkhart,2,1,0,0,1,0.0,0.0,0.0,,3.0,1.0,
Kentucky,Cities,Elkton,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2211.0
Kansas,NonmetropolitanCounties,Ellis,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
Maine,Cities,Ellsworth,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,7853.0
New Jersey,Cities,ElmwoodPark,1,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,20077.0
Kentucky,Cities,Elsmere,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,8478.0
Massachusetts,UniversitiesandColleges,EmersonCollege,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4531.0
Utah,NonmetropolitanCounties,Emery,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
California,Cities,Emeryville,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,10415.0
California,Cities,Encinitas,2,1,0,1,0,0.0,0.0,2.0,1.0,1.0,0.0,61433.0
Connecticut,Cities,Enfield,1,0,0,0,0,0.0,0.0,,1.0,,,44661.0
Arkansas,Cities,England,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2806.0
Colorado,Cities,Englewood,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,31454.0
Ohio,Cities,Englewood,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,13455.0
Colorado,Cities,Erie,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,19627.0
New York,MetropolitanCounties,Erie,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,
Michigan,Cities,Escanaba,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,12531.0
California,Cities,Escondido,4,1,1,2,0,0.0,0.0,2.0,2.0,3.0,1.0,148650.0
Michigan,Cities,Essexville,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,3436.0
Oregon,Cities,Eugene,6,4,3,2,0,0.0,0.0,1.0,9.0,1.0,4.0,158499.0
California,Cities,Eureka,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,26881.0
Washington,Cities,Everett,1,1,2,2,0,0.0,0.0,2.0,1.0,1.0,2.0,105129.0
Texas,Cities,Everman,0,0,1,0,0,0.0,0.0,1.0,,0.0,0.0,6276.0
New Jersey,Cities,EveshamTownship,7,1,0,0,0,0.0,0.0,4.0,3.0,1.0,0.0,45798.0
New Jersey,Cities,EwingTownship,1,0,2,0,0,0.0,0.0,0.0,1.0,0.0,2.0,36449.0
Ohio,Cities,Fairborn,2,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,32820.0
Oklahoma,Cities,Fairfax,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1373.0
Virginia,MetropolitanCounties,FairfaxCountyPoliceDepartment,7,5,0,1,0,0.0,0.0,3.0,1.0,5.0,4.0,
California,Cities,Fairfield,2,0,0,1,0,0.0,0.0,1.0,0.0,0.0,2.0,108425.0
Ohio,Cities,Fairfield,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,42677.0
South Carolina,MetropolitanCounties,Fairfield,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
Arkansas,Cities,FairfieldBay,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2295.0
West Virginia,Cities,Fairmont,1,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,18740.0
New Jersey,Cities,Fairview,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,14358.0
Massachusetts,Cities,FallRiver,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,89220.0
New Jersey,Cities,Fanwood,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,7447.0
North Dakota,Cities,Fargo,8,2,2,1,1,0.0,0.0,2.0,3.0,6.0,3.0,111101.0
Minnesota,Cities,Faribault,0,0,1,0,0,0.0,0.0,,,1.0,,23405.0
Michigan,Cities,Farmington,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,10514.0
New Hampshire,Cities,Farmington,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6799.0
Utah,Cities,Farmington,2,0,1,0,0,0.0,0.0,0.0,3.0,0.0,0.0,21582.0
Virginia,Cities,Farmville,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,8142.0
Arkansas,MetropolitanCounties,Faulkner,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,
West Virginia,MetropolitanCounties,Fayette,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,1.0,
North Carolina,Cities,Fayetteville,4,1,0,1,0,0.0,0.0,2.0,1.0,2.0,1.0,202524.0
Tennessee,Cities,Fayetteville,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,7155.0
Washington,Cities,FederalWay,3,4,4,0,0,0.0,0.0,1.0,3.0,3.0,4.0,92741.0
Pennsylvania,Cities,FergusonTownship,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,17807.0
Michigan,Cities,Ferndale,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,20104.0
Washington,Cities,Ferndale,1,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,12173.0
Washington,Cities,Fife,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,9380.0
Ohio,Cities,Findlay,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,41660.0
Florida,MetropolitanCounties,Flagler,2,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,
Kentucky,Cities,Flatwoods,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,7412.0
Michigan,Cities,FlintTownship,2,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,31182.0
Alabama,Cities,Florence,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,39481.0
Kentucky,Cities,Florence,1,0,0,0,2,0.0,0.0,1.0,1.0,1.0,0.0,31434.0
Michigan,Cities,Flushing,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,8204.0
